No,Titik,Lokasi,Koordinat,X,Y
1,A,Citraland,"-6.131067, 106.132513",-6.131067,106.132513
2,B,Jl Raya Sepang,"-6.133913, 106.134790",-6.133913,106.13479
3,C,Jl Ciracas,"-6.121988, 106.147580",-6.121988,106.14758
4,D,Jl Kolonel Tubagus Suwandi,"-6.127864, 106.146556",-6.127864,106.146556
5,E,Jl Veteran,"-6.116890, 106.153907",-6.11689,106.153907
6,F,Jl Kh Abdul Hadi,"-6.125760, 106.159867",-6.12576,106.159867
7,G,Jl Kejaksaan I,"-6.123619, 106.156434",-6.123619,106.156434
8,H,Jl Kh Sochan,"-6.122556, 106.164502",-6.122556,106.164502
9,I,Jl Kh abdul fatah hasan,"-6.124513, 106.171925",-6.124513,106.171925
10,J,Jl Jend Sudirman,"-6.120478, 106.173673",-6.120478,106.173673
11,K,Rs Sari Asih Serang,"-6.118677, 106.181270",-6.118677,106.18127
